phase,category,id,item,quantity,unit,notes
0,Milestone,P0-M1,Complete all Tier 0 HUB upgrades (in order),1,task,Unlocks Smelter/Constructor/Miner/Space Elevator
0,Milestone,P0-M2,Build Space Elevator at Central Hub,1,task,Permanent location for whole game
0,Milestone,P0-M3,Logistics Mk.2 (belts Mk2 + splitters/mergers),1,task,Needed for clean modules
0,Milestone,P0-M4,Part Assembly milestone (Assembler),1,task,Gate to everything
0,Milestone,P0-M5,Resource Sink Bonus Program (AWESOME Sink + Shop),1,task,Build Sink at Central Hub
0,Module,P0-MALL,Central Hub personal mall (storage containers),1,build,One container per part you want on hand
0,Milestone,PWR0,Power - Biomass Burners (bootstrapping),1,task,30 MW each; replace at Tier 3
1,Module,M1,Build Module M1 - Smart Plating (10/min),1,build,41 machines; ~233 iron ore/min full clock
1,Deliverable,P1-D1,Smart Plating,50,parts,Phase 1 delivery - unlocks Tiers 3 & 4
2,Module,COAL,Coal Power plant (generators by water),1,build,Build before the new modules
2,Module,M2,Build Module M2 - Versatile Framework (20/min),1,build,Sized for Phase 2 + 3; split steel trunk on Mk.3 belts
2,Module,M3,Build Module M3 - Automated Wiring (5/min),1,build,21 machines
2,Deliverable,P2-D1,Smart Plating,500,parts,From M1 - just let it run (~50 min)
2,Deliverable,P2-D2,Versatile Framework,500,parts,From M2
2,Deliverable,P2-D3,Automated Wiring,100,parts,From M3 (~20 min)
3,Module,PWR3,Power - Fuel Generators (from oil),1,build,250 MW each; frees coal up for steel
3,Module,F1,Feeder F1 - Oil to Plastic & Rubber,1,build,Pipe fluids; belt Plastic/Rubber; sink Heavy Oil Residue
3,Module,F2,Feeder F2 - Computers line,1,build,~5 Computers/min (Circuit Board + Cable + Plastic)
3,Module,M4,Build Module M4 - Modular Engine (5/min),1,build,2 Motor + 15 Rubber + 2 Smart Plating per engine
3,Module,M5,Build Module M5 - Adaptive Control Unit (2/min),1,build,5 Auto Wiring + 5 Circuit Board + 1 Heavy Modular Frame + 2 Computer
3,Deliverable,P3-D1,Versatile Framework,2500,parts,From M2 - keep it running (~125 min)
3,Deliverable,P3-D2,Modular Engine,500,parts,From M4 (~100 min)
3,Deliverable,P3-D3,Adaptive Control Unit,100,parts,From M5 (~50 min)
4,Module,RAIL,First train lines to far resources,1,build,Bauxite / Nitrogen / Oil / Uranium / SAM
4,Module,ALU,Aluminium sub-factory (bauxite to ingots),1,build,Alumina -> Scrap -> Ingot/Casing/Sheet
4,Module,NITRO,Nitrogen via Resource Well Pressurizers,1,build,For Cooling Systems / Fused Modular Frames
4,Module,M6,Build Module M6 - Assembly Director System,1,build,2 ACU + 1 Supercomputer (Assembler; 0.75/machine)
4,Module,M7,Build Module M7 - Magnetic Field Generator,1,build,5 VF + 2 EM Control Rod (Assembler; no Batteries in 1.0)
4,Module,M8,Build Module M8 - Thermal Propulsion Rocket,1,build,5 Mod Engine + 2 Turbo Motor + 6 Cooling System + 2 Fused Frame
4,Module,PWR4,Power - first Nuclear Power Plant(s),1,build,2500 MW; needs water + Nuclear Waste handling
4,Module,M9,Build Module M9 - Nuclear Pasta,1,build,Copper-powder monster; use Somersloops; covers P4+P5
4,Deliverable,P4-D1,Assembly Director System,500,parts,From M6
4,Deliverable,P4-D2,Magnetic Field Generator,500,parts,From M7
4,Deliverable,P4-D3,Thermal Propulsion Rocket,250,parts,From M8
4,Deliverable,P4-D4,Nuclear Pasta,100,parts,From M9
5,Module,QUANTUM,Quantum/Dark Matter/Ficsite sub-factories,1,build,Diamonds->Time Crystal/Dark Matter; SAM->Ficsite; EPM
5,Module,M10,Build Module M10 - Biochemical Sculptor,1,build,1 ADS + 80 Ficsite Trigon + 20 Water -> 4 (Blender)
5,Module,M11,Build Module M11 - AI Expansion Server,1,build,MFG + Neural-Quantum Processor + Superposition Oscillator + EPM (Quantum Encoder)
5,Module,M12,Build Module M12 - Ballistic Warp Drive,1,build,TPR + 5 Singularity Cell + 2 Superposition Oscillator + 40 Dark Matter Crystal (Quantum Encoder)
5,Deliverable,P5-D1,Nuclear Pasta,1000,parts,From M9 (keep running from Phase 4)
5,Deliverable,P5-D2,Biochemical Sculptor,1000,parts,From M10
5,Deliverable,P5-D3,AI Expansion Server,256,parts,From M11
5,Deliverable,P5-D4,Ballistic Warp Drive,200,parts,From M12
5,Milestone,FINISH,Run final launch sequence and pull the lever,1,task,Project Assembly launches - game complete
